engine,frame,time_ps_mda,n_res_4p0A,n_res_5p0A,n_res_6p0A,time_ps,time_ns,C4_O1_A,RS_label,signed_triple_O1_C5phenyl_C3chain_about_C4
amber_smoke,0,107.0,13,16,22,107.0,0.107,4.342732906341553,S_like_by_product_reference,0.5767711997032166
amber_smoke,1,112.0,10,16,24,112.0,0.112,4.349061965942383,S_like_by_product_reference,1.50850510597229
amber_smoke,2,117.0,12,16,22,117.0,0.117,4.439364910125732,S_like_by_product_reference,0.6053428053855896
amber_smoke,3,122.0,10,16,22,122.0,0.122,4.368950366973877,S_like_by_product_reference,0.7517979741096497
amber_smoke,4,127.0,9,17,22,127.0,0.127,4.531705856323242,S_like_by_product_reference,0.4966708123683929
amber_smoke,5,132.0,10,17,20,132.0,0.132,4.350036144256592,S_like_by_product_reference,0.5391073226928711
amber_smoke,6,137.0,10,15,25,137.0,0.137,4.616733074188232,S_like_by_product_reference,1.743929386138916
amber_smoke,7,142.0,12,17,22,142.0,0.142,4.53424596786499,R_like_by_product_reference,-1.2082067728042605
amber_smoke,8,147.0,9,14,22,147.0,0.147,4.355147838592529,S_like_by_product_reference,1.4000016450881958
amber_smoke,9,152.0,11,15,20,152.0,0.152,4.356956481933594,R_like_by_product_reference,-1.0519795417785645
amber_smoke,10,157.0,9,16,19,157.0,0.157,4.36799430847168,S_like_by_product_reference,0.3812349140644073
amber_smoke,11,162.0,8,14,24,162.0,0.162,4.334301948547363,R_like_by_product_reference,-3.2986156940460205
amber_smoke,12,167.0,11,16,22,167.0,0.167,4.432254791259766,S_like_by_product_reference,0.0995181649923324
amber_smoke,13,172.0,9,15,25,172.0,0.172,4.3478217124938965,S_like_by_product_reference,1.11459219455719
amber_smoke,14,177.0,12,17,21,177.0,0.177,4.449748992919922,S_like_by_product_reference,0.253508061170578
amber_smoke,15,182.0,12,18,22,182.0,0.182,4.1941633224487305,S_like_by_product_reference,1.3451964855194092
amber_smoke,16,187.0,11,18,22,187.0,0.187,4.37489652633667,R_like_by_product_reference,-0.3101671636104584
amber_smoke,17,192.0,10,17,21,192.0,0.192,4.264628410339356,S_like_by_product_reference,1.1572091579437256
